"deviceId","ts","msgType","payload","qos","retain","topic"
"Harry","2025-11-07T05:28:21.319Z","realtime","{""devId"":{""S"":""Harry""},""sendStamp"":{""N"":""1762493301000""},""topic"":{""S"":""realtime""},""Data"":{""M"":{""T4"":{""N"":""228""},""T5"":{""N"":""200""},""T6"":{""N"":""0""},""STS"":{""N"":""2""},""T7"":{""N"":""0""},""OT"":{""N"":""31""},""OPM"":{""N"":""3""},""T1"":{""N"":""242""},""T2"":{""N"":""243""},""ASTS"":{""N"":""0""},""T3"":{""N"":""233""}}},""time"":{""S"":""2025-11-07 13:28:20""},""sendTime"":{""S"":""2025-11-07 13:28:21""},""timestamp"":{""N"":""1762493300000""}}","1","false","/YLCY/IMM/Harry/realtime"
"Harry","2025-11-07T05:28:22.843Z","spc","{""devId"":{""S"":""Harry""},""sendStamp"":{""N"":""1762493302000""},""topic"":{""S"":""spc""},""Data"":{""M"":{""ECYCT"":{""N"":""38.84""},""EIPM"":{""N"":""0""},""ET2"":{""N"":""243""},""EFCHT"":{""N"":""5.65""},""ET1"":{""N"":""242""},""EISS"":{""N"":""64.3""},""ET4"":{""N"":""228""},""ET3"":{""N"":""233""},""EIPSMIN"":{""N"":""13.6""},""EPLSPM"":{""N"":""0""},""ET6"":{""N"":""0""},""ET5"":{""N"":""200""},""EIPT"":{""N"":""10.1""},""ESIPP"":{""N"":""0""},""ET7"":{""N"":""0""},""EOT"":{""N"":""31""},""EMOS"":{""N"":""328.3""},""ESIPT"":{""N"":""4""},""ESIPS"":{""N"":""18.9""},""EIPSE"":{""N"":""13.8""},""EPLST"":{""N"":""8.67""},""EIVM"":{""N"":""28""},""CYCN"":{""N"":""131""}}},""time"":{""S"":""2025-11-07 13:28:21""},""sendTime"":{""S"":""2025-11-07 13:28:22""},""timestamp"":{""N"":""1762493301000""}}","1","false","/YLCY/IMM/Harry/spc"
"Harry","2025-11-07T05:28:24.991Z","wm","{""devId"":{""S"":""Harry""},""sendStamp"":{""N"":""1762493304000""},""topic"":{""S"":""wm""},""Data"":{""M"":{""wmMsg"":{""S"":""机械手失败""},""wmId"":{""N"":""11""},""wmTime"":{""S"":""2025-11-07 13:28:21""}}},""time"":{""S"":""2025-11-07 13:28:22""},""sendTime"":{""S"":""2025-11-07 13:28:24""},""timestamp"":{""N"":""1762493302000""}}","1","false","/YLCY/IMM/Harry/wm"
"Harry","2025-11-07T05:28:26.515Z","wm","{""devId"":{""S"":""Harry""},""sendStamp"":{""N"":""1762493306000""},""topic"":{""S"":""wm""},""Data"":{""M"":{""wmMsg"":{""S"":""""},""wmId"":{""N"":""0""},""wmTime"":{""S"":""2025-11-07 13:28:25""}}},""time"":{""S"":""2025-11-07 13:28:26""},""sendTime"":{""S"":""2025-11-07 13:28:26""},""timestamp"":{""N"":""1762493306000""}}","1","false","/YLCY/IMM/Harry/wm"
"Harry","2025-11-07T05:28:41.346Z","realtime","{""devId"":{""S"":""Harry""},""sendStamp"":{""N"":""1762493321000""},""topic"":{""S"":""realtime""},""Data"":{""M"":{""T4"":{""N"":""228""},""T5"":{""N"":""200""},""T6"":{""N"":""0""},""STS"":{""N"":""2""},""T7"":{""N"":""0""},""OT"":{""N"":""31""},""OPM"":{""N"":""3""},""T1"":{""N"":""244""},""T2"":{""N"":""243""},""ASTS"":{""N"":""0""},""T3"":{""N"":""233""}}},""time"":{""S"":""2025-11-07 13:28:40""},""sendTime"":{""S"":""2025-11-07 13:28:41""},""timestamp"":{""N"":""1762493320000""}}","1","false","/YLCY/IMM/Harry/realtime"
"Harry","2025-11-07T05:29:00.587Z","realtime","{""devId"":{""S"":""Harry""},""sendStamp"":{""N"":""1762493340000""},""topic"":{""S"":""realtime""},""Data"":{""M"":{""T4"":{""N"":""228""},""T5"":{""N"":""200""},""T6"":{""N"":""0""},""STS"":{""N"":""2""},""T7"":{""N"":""0""},""OT"":{""N"":""31""},""OPM"":{""N"":""3""},""T1"":{""N"":""245""},""T2"":{""N"":""243""},""ASTS"":{""N"":""0""},""T3"":{""N"":""233""}}},""time"":{""S"":""2025-11-07 13:29:00""},""sendTime"":{""S"":""2025-11-07 13:29:00""},""timestamp"":{""N"":""1762493340000""}}","1","false","/YLCY/IMM/Harry/realtime"
"Harry","2025-11-07T05:29:04.327Z","spc","{""devId"":{""S"":""Harry""},""sendStamp"":{""N"":""1762493344000""},""topic"":{""S"":""spc""},""Data"":{""M"":{""ECYCT"":{""N"":""42.51""},""EIPM"":{""N"":""0""},""ET2"":{""N"":""243""},""EFCHT"":{""N"":""5.64""},""ET1"":{""N"":""245""},""EISS"":{""N"":""64.1""},""ET4"":{""N"":""228""},""ET3"":{""N"":""233""},""EIPSMIN"":{""N"":""14.3""},""EPLSPM"":{""N"":""0""},""ET6"":{""N"":""0""},""ET5"":{""N"":""200""},""EIPT"":{""N"":""10.1""},""ESIPP"":{""N"":""0""},""ET7"":{""N"":""0""},""EOT"":{""N"":""31""},""EMOS"":{""N"":""328.1""},""ESIPT"":{""N"":""4""},""ESIPS"":{""N"":""19.5""},""EIPSE"":{""N"":""14.5""},""EPLST"":{""N"":""8.62""},""EIVM"":{""N"":""28""},""CYCN"":{""N"":""132""}}},""time"":{""S"":""2025-11-07 13:29:03""},""sendTime"":{""S"":""2025-11-07 13:29:04""},""timestamp"":{""N"":""1762493343000""}}","1","false","/YLCY/IMM/Harry/spc"
"Harry","2025-11-07T05:29:21.266Z","realtime","{""devId"":{""S"":""Harry""},""sendStamp"":{""N"":""1762493361000""},""topic"":{""S"":""realtime""},""Data"":{""M"":{""T4"":{""N"":""228""},""T5"":{""N"":""200""},""T6"":{""N"":""0""},""STS"":{""N"":""2""},""T7"":{""N"":""0""},""OT"":{""N"":""31""},""OPM"":{""N"":""3""},""T1"":{""N"":""242""},""T2"":{""N"":""243""},""ASTS"":{""N"":""0""},""T3"":{""N"":""233""}}},""time"":{""S"":""2025-11-07 13:29:20""},""sendTime"":{""S"":""2025-11-07 13:29:21""},""timestamp"":{""N"":""1762493360000""}}","1","false","/YLCY/IMM/Harry/realtime"
"Harry","2025-11-07T05:29:40.511Z","realtime","{""devId"":{""S"":""Harry""},""sendStamp"":{""N"":""1762493380000""},""topic"":{""S"":""realtime""},""Data"":{""M"":{""T4"":{""N"":""228""},""T5"":{""N"":""200""},""T6"":{""N"":""0""},""STS"":{""N"":""2""},""T7"":{""N"":""0""},""OT"":{""N"":""31""},""OPM"":{""N"":""3""},""T1"":{""N"":""243""},""T2"":{""N"":""243""},""ASTS"":{""N"":""0""},""T3"":{""N"":""233""}}},""time"":{""S"":""2025-11-07 13:29:40""},""sendTime"":{""S"":""2025-11-07 13:29:40""},""timestamp"":{""N"":""1762493380000""}}","1","false","/YLCY/IMM/Harry/realtime"
"Harry","2025-11-07T05:29:43.039Z","spc","{""devId"":{""S"":""Harry""},""sendStamp"":{""N"":""1762493382000""},""topic"":{""S"":""spc""},""Data"":{""M"":{""ECYCT"":{""N"":""38.85""},""EIPM"":{""N"":""0""},""ET2"":{""N"":""243""},""EFCHT"":{""N"":""5.64""},""ET1"":{""N"":""243""},""EISS"":{""N"":""64.3""},""ET4"":{""N"":""228""},""ET3"":{""N"":""233""},""EIPSMIN"":{""N"":""12.3""},""EPLSPM"":{""N"":""0""},""ET6"":{""N"":""0""},""ET5"":{""N"":""200""},""EIPT"":{""N"":""10.1""},""ESIPP"":{""N"":""0""},""ET7"":{""N"":""0""},""EOT"":{""N"":""31""},""EMOS"":{""N"":""328.1""},""ESIPT"":{""N"":""4""},""ESIPS"":{""N"":""18""},""EIPSE"":{""N"":""12.5""},""EPLST"":{""N"":""8.86""},""EIVM"":{""N"":""29""},""CYCN"":{""N"":""133""}}},""time"":{""S"":""2025-11-07 13:29:42""},""sendTime"":{""S"":""2025-11-07 13:29:42""},""timestamp"":{""N"":""1762493382000""}}","1","false","/YLCY/IMM/Harry/spc"
